1;Commune;Quartier;Chambre;Cuisine;Salon;Toilette int;Design;Prix
54;Kimbanseke;kingasani;4;1;1;1;8;350
55;Lemba;mandradele;2;1;1;1;7;200
56;Kimbanseke;revolution;1;0;0;0;7;70
57;Kimbanseke;mikondo;1;0;0;0;5;50
58;Kimbanseke;kingasani;3;1;1;0;8;250
59;Lemba;terminus;3;1;1;1;8;340
60;Ngaliema;delvaux;1;1;1;1;9;150
61;Kimbanseke;mikondo;1;0;0;0;5;50
62;Lemba;salongo;2;1;1;0;7;200
63;Lemba;salongo;2;1;1;1;7;250
64;Kimbanseke;revolution;2;1;1;1;6;150
65;Ngaliema;delvaux;2;1;1;1;9;250
66;Kimbanseke;kingasani;4;1;1;1;8;300
67;Kimbanseke;mokali;2;1;1;1;6;150
68;Kimbanseke;kingasani;1;1;1;1;8;100
69;Ngaliema;delvaux;2;1;1;1;8;200
70;Lemba;terminus;5;1;1;1;8.5;750
71;Ngaliema;Anciens combatant;3;1;1;1;8.5;400
72;Lemba;mandradele;1;1;1;0;6;120
73;Kimbanseke;revolution;1;1;1;1;7;100
74;Kimbanseke;kingasani;2;1;1;1;8;150
75;Ngaliema;ma campagne;3;1;1;1;8;800
76;Ngaliema;Anciens combatant;2;0;1;1;6;200
77;Ngaliema;ma campagne;5;1;1;1;8;1400
78;Lemba;echangeur;3;1;1;1;7;290
79;Kimbanseke;mokali;2;1;1;1;4;100
80;Kimbanseke;mokali;1;1;1;1;5;100
81;Kimbanseke;kingasani;2;1;1;0;7;150
82;Kimbanseke;revolution;3;1;1;1;7;300
83;Lemba;mandradele;2;1;1;1;7;200
84;Lemba;salongo;4;1;1;1;8;300
85;Ngaliema;delvaux;4;1;1;1;8;1200
86;Kimbanseke;mokali;2;0;1;0;5;100
87;Lemba;echangeur;3;1;1;1;7;450
88;Lemba;echangeur;2;1;1;1;8;250
89;Kimbanseke;mokali;3;1;1;1;7;200
90;Kimbanseke;mikondo;2;1;1;1;7;150
91;Kimbanseke;mokali;2;1;1;1;7;150
92;Kimbanseke;kingasani;1;0;0;0;5;40
93;Ngaliema;ma campagne;6;1;1;1;9;1700
94;Ngaliema;mont fleury;5;1;1;1;8;1200
95;Lemba;salongo;4;1;1;1;8;600
96;Kimbanseke;mokali;1;1;1;1;6;100
97;Ngaliema;mont fleury;2;1;1;1;7;300
98;Lemba;terminus;3;1;1;1;8;400
99;Ngaliema;delvaux;2;1;1;1;8;250
100;Lemba;mandradele;4;1;1;1;8;700
101;Ngaliema;Anciens combatant;8;1;1;1;9;2500
102;Lemba;echangeur;1;1;1;1;7;120
103;Kimbanseke;mikondo;1;1;1;0;7;90
104;Ngaliema;Anciens combatant;1;0;1;1;7;120
105;Lemba;echangeur;1;0;0;0;6;80
106;Ngaliema;delvaux;2;1;1;1;8;250
107;Kimbanseke;mikondo;1;0;1;0;8;80
108;Ngaliema;mont fleury;4;1;1;1;7;600
109;Lemba;mandradele;2;0;1;0;7;170
110;Kimbanseke;revolution;1;1;1;1;7;100
111;Kimbanseke;revolution;1;1;1;0;7;90
112;Lemba;mandradele;1;0;1;1;8;140
113;Kimbanseke;mokali;1;0;0;0;6;60
114;Lemba;salongo;3;1;1;1;8;400
115;Ngaliema;Anciens combatant;3;1;1;1;8;540
116;Kimbanseke;kingasani;2;0;1;1;7;100
117;Kimbanseke;kingasani;1;0;0;0;6;50
118;Ngaliema;Anciens combatant;4;1;1;1;8;700
119;Lemba;salongo;4;1;1;1;7;500
120;Ngaliema;ma campagne;2;1;1;1;8;300
121;Kimbanseke;mokali;1;0;0;0;6;50
122;Ngaliema;delvaux;2;1;1;1;9;450
123;Lemba;mandradele;1;1;1;0;8;130
124;Kimbanseke;mikondo;1;0;1;1;7;90
125;Ngaliema;delvaux;1;1;1;1;9;220
126;Lemba;terminus;3;1;1;1;9;500
127;Kimbanseke;revolution;3;1;1;1;8;300
128;Lemba;echangeur;1;0;1;1;8;100
129;Ngaliema;mont fleury;3;1;1;1;8;900
130;Lemba;echangeur;4;1;1;1;7;600
131;Kimbanseke;mokali;2;1;1;0;6;100
132;Ngaliema;ma campagne;2;1;1;1;7;350
133;Lemba;mandradele;1;0;0;0;7;90
134;Kimbanseke;mokali;2;1;1;1;7;200
135;Lemba;salongo;2;1;1;0;8;280
136;Kimbanseke;mikondo;1;0;1;1;1;100
137;Kimbanseke;mikondo;1;0;0;0;6;60
138;Kimbanseke;revolution;1;1;1;1;8;100
139;Ngaliema;ma campagne;4;1;1;1;8;850
140;Lemba;mandradele;2;0;1;1;7;170
141;Kimbanseke;mokali;2;0;1;0;6;100
142;Lemba;echangeur;6;1;1;1;9;1100
143;Ngaliema;mont fleury;2;1;1;1;8;300
144;Kimbanseke;revolution;1;0;0;1;7;80
145;Kimbanseke;mokali;3;1;1;0;8;150
146;Ngaliema;Anciens combatant;4;1;1;1;8;550
147;Kimbanseke;kingasani;1;1;1;0;7;80
148;Ngaliema;delvaux;2;1;1;1;8;300
149;Lemba;echangeur;1;0;0;0;7;90
150;Kimbanseke;revolution;1;1;1;1;5;90
151;Lemba;salongo;3;1;1;0;7;250
152;Lemba;echangeur;2;1;1;1;7;220
153;Lemba;terminus;3;1;1;1;7;320
154;Lemba;salongo;4;1;1;1;8;550
155;Ngaliema;mont fleury;2;1;1;1;7;280
156;Ngaliema;ma campagne;3;1;1;1;8;450
157;Lemba;salongo;2;1;1;0;6;180
158;Lemba;terminus;4;1;1;1;8;580
159;Kimbanseke;mokali;3;1;1;0;5;190
160;Kimbanseke;kingasani;2;1;1;1;5;110
161;Kimbanseke;kingasani;1;0;0;0;3;35
162;Ngaliema;ma campagne;2;0;1;1;5;110
163;Ngaliema;ma campagne;3;1;1;1;8;380
164;Ngaliema;mont fleury;1;0;0;0;7.5;100
165;Ngaliema;Anciens combatant;3;1;1;1;9;520
166;Lemba;echangeur;2;0;1;0;8;140
167;Lemba;salongo;2;1;1;0;6;140
168;Lemba;echangeur;2;1;1;1;6;140
169;Lemba;mandradele;3;1;1;1;7;230
170;Ngaliema;mont fleury;1;0;0;0;7;75
171;Lemba;salongo;3;1;1;1;8;330
172;Ngaliema;ma campagne;2;0;1;1;7;190
173;Kimbanseke;kingasani;4;1;1;1;6;280
174;Kimbanseke;mokali;4;1;1;1;8;430
175;Lemba;mandradele;1;0;0;0;6;65
176;Lemba;salongo;2;0;1;1;6;130
177;Ngaliema;mont fleury;5;1;1;1;9;1350
178;Ngaliema;ma campagne;5;1;1;1;9;1900
179;Ngaliema;Anciens combatant;4;1;1;1;9;1450
180;Kimbanseke;kingasani;2;1;1;1;7;140
181;Ngaliema;delvaux;1;1;1;1;9;190
182;Lemba;echangeur;2;1;1;1;8;270
183;Kimbanseke;mokali;3;1;1;1;8;340
184;Kimbanseke;revolution;5;1;1;1;8;480
185;Kimbanseke;mokali;1;0;0;1;5;55
186;Lemba;mandradele;1;0;1;0;7;85
187;Kimbanseke;kingasani;2;1;1;1;7;210
188;Kimbanseke;kingasani;3;1;1;1;7;290
189;Lemba;salongo;2;1;1;1;8;240
190;Lemba;echangeur;2;1;1;1;9;290
191;Ngaliema;Anciens combatant;3;1;1;1;8.5;580
192;Ngaliema;delvaux;2;1;1;1;9;370
193;Kimbanseke;revolution;2;0;1;0;6;95
194;Lemba;echangeur;4;1;1;1;7;530
195;Kimbanseke;kingasani;2;1;1;1;7;145
196;Ngaliema;ma campagne;1;1;1;1;6;145
197;Ngaliema;Anciens combatant;1;0;0;0;6;95
198;Kimbanseke;mikondo;3;1;1;1;8;240
199;Lemba;terminus;3;1;1;0;7;340
200;Ngaliema;ma campagne;1;1;1;1;7;145
201;Ngaliema;mont fleury;1;1;1;1;8;95
202;Ngaliema;mont fleury;2;1;1;1;8;240
203;Kimbanseke;mokali;3;1;1;1;7;240
204;Kimbanseke;kingasani;4;1;1;1;8;340
205;Lemba;mandradele;2;1;1;1;7;190
206;Kimbanseke;revolution;1;0;0;0;7;65
207;Kimbanseke;mikondo;1;0;0;0;5;45
208;Kimbanseke;kingasani;3;1;1;0;8;240
209;Lemba;terminus;3;1;1;1;8;330
210;Ngaliema;delvaux;1;1;1;1;9;145
211;Kimbanseke;mikondo;1;0;0;0;5;45
212;Lemba;salongo;2;1;1;0;7;190
213;Lemba;salongo;2;1;1;1;7;240
214;Kimbanseke;revolution;2;1;1;1;6;145
215;Ngaliema;delvaux;2;1;1;1;9;240
216;Kimbanseke;kingasani;4;1;1;1;8;290
217;Kimbanseke;mokali;2;1;1;1;6;145
218;Kimbanseke;kingasani;1;1;1;1;8;95
219;Ngaliema;delvaux;2;1;1;1;8;190
220;Lemba;terminus;5;1;1;1;8.5;720
221;Ngaliema;Anciens combatant;3;1;1;1;8.5;390
222;Lemba;mandradele;1;1;1;0;6;115
223;Kimbanseke;revolution;1;1;1;1;7;95
224;Kimbanseke;kingasani;2;1;1;1;8;145
225;Ngaliema;ma campagne;3;1;1;1;8;770
226;Ngaliema;Anciens combatant;2;0;1;1;6;190
227;Ngaliema;ma campagne;5;1;1;1;8;1350
228;Lemba;echangeur;3;1;1;1;7;280
229;Kimbanseke;mokali;2;1;1;1;4;95
230;Kimbanseke;mokali;1;1;1;1;5;95
231;Kimbanseke;kingasani;2;1;1;0;7;145
232;Kimbanseke;revolution;3;1;1;1;7;290
233;Lemba;mandradele;2;1;1;1;7;190
234;Lemba;salongo;4;1;1;1;8;290
235;Ngaliema;delvaux;4;1;1;1;8;1150
236;Kimbanseke;mokali;2;0;1;0;5;95
237;Lemba;echangeur;3;1;1;1;7;440
238;Lemba;echangeur;2;1;1;1;8;240
239;Kimbanseke;mokali;3;1;1;1;7;190
240;Kimbanseke;mikondo;2;1;1;1;7;145
241;Kimbanseke;mokali;2;1;1;1;7;145
242;Kimbanseke;kingasani;1;0;0;0;5;35
243;Ngaliema;ma campagne;6;1;1;1;9;1650
244;Ngaliema;mont fleury;5;1;1;1;8;1150
245;Lemba;salongo;4;1;1;1;8;580
246;Kimbanseke;mokali;1;1;1;1;6;95
247;Ngaliema;mont fleury;2;1;1;1;7;290
248;Lemba;terminus;3;1;1;1;8;390
249;Ngaliema;delvaux;2;1;1;1;8;240
250;Lemba;mandradele;4;1;1;1;8;680
251;Ngaliema;Anciens combatant;8;1;1;1;9;2450
252;Lemba;echangeur;1;1;1;1;7;115
253;Kimbanseke;mikondo;1;1;1;0;7;85
254;Ngaliema;Anciens combatant;1;0;1;1;7;115
255;Lemba;echangeur;1;0;0;0;6;75
256;Ngaliema;delvaux;2;1;1;1;8;240
257;Kimbanseke;mikondo;1;0;1;0;8;75
258;Ngaliema;mont fleury;4;1;1;1;7;580
259;Lemba;mandradele;2;0;1;0;7;165
260;Kimbanseke;revolution;1;1;1;1;7;95
261;Kimbanseke;revolution;1;1;1;0;7;85
262;Lemba;mandradele;1;0;1;1;8;135
263;Kimbanseke;mokali;1;0;0;0;6;55
264;Lemba;salongo;3;1;1;1;8;390
265;Ngaliema;Anciens combatant;3;1;1;1;8;530
266;Kimbanseke;kingasani;2;0;1;1;7;95
267;Kimbanseke;kingasani;1;0;0;0;6;45
268;Ngaliema;Anciens combatant;4;1;1;1;8;680
269;Lemba;salongo;4;1;1;1;7;480
270;Ngaliema;ma campagne;2;1;1;1;8;290
271;Kimbanseke;mokali;1;0;0;0;6;45
272;Ngaliema;delvaux;2;1;1;1;9;440
273;Lemba;mandradele;1;1;1;0;8;125
274;Kimbanseke;mikondo;1;0;1;1;7;85
275;Ngaliema;delvaux;1;1;1;1;9;210
276;Lemba;terminus;3;1;1;1;9;480
277;Kimbanseke;revolution;3;1;1;1;8;290
278;Lemba;echangeur;1;0;1;1;8;95
279;Ngaliema;mont fleury;3;1;1;1;8;880
280;Lemba;echangeur;4;1;1;1;7;580
281;Kimbanseke;mokali;2;1;1;0;6;95
282;Ngaliema;ma campagne;2;1;1;1;7;340
283;Lemba;mandradele;1;0;0;0;7;85
284;Kimbanseke;mokali;2;1;1;1;7;190
285;Lemba;salongo;2;1;1;0;8;270
286;Kimbanseke;mikondo;1;0;1;1;1;95
287;Kimbanseke;mikondo;1;0;0;0;6;55
288;Kimbanseke;revolution;1;1;1;1;8;95
289;Ngaliema;ma campagne;4;1;1;1;8;820
290;Lemba;mandradele;2;0;1;1;7;165
291;Kimbanseke;mokali;2;0;1;0;6;95
292;Lemba;echangeur;6;1;1;1;9;1080
293;Ngaliema;mont fleury;2;1;1;1;8;290
294;Kimbanseke;revolution;1;0;0;1;7;75
295;Kimbanseke;mokali;3;1;1;0;8;145
296;Ngaliema;Anciens combatant;4;1;1;1;8;540
297;Kimbanseke;kingasani;1;1;1;0;7;75
298;Ngaliema;delvaux;2;1;1;1;8;290
299;Lemba;echangeur;1;0;0;0;7;85
300;Kimbanseke;revolution;1;1;1;1;5;85
301;Lemba;salongo;3;1;1;0;7;240
302;Ngaliema;delvaux;3;1;1;1;9;650
303;Lemba;terminus;2;1;1;1;7;300
304;Kimbanseke;mokali;4;1;1;1;8;420
305;Ngaliema;ma campagne;4;1;1;1;8;800
306;Lemba;salongo;1;0;1;0;6;120
307;Kimbanseke;kingasani;3;1;1;1;7;270
308;Ngaliema;mont fleury;2;1;1;1;7;260
309;Lemba;echangeur;3;1;1;1;7;420
310;Kimbanseke;revolution;2;1;1;1;6;130
311;Ngaliema;Anciens combatant;2;1;1;1;8;350
312;Lemba;mandradele;3;1;1;1;7;240
313;Kimbanseke;mikondo;2;1;1;1;7;140
314;Ngaliema;delvaux;1;1;1;1;9;180
315;Lemba;salongo;2;1;1;0;6;160
316;Kimbanseke;mokali;2;1;1;1;6;140
317;Ngaliema;ma campagne;3;1;1;1;8;420
318;Lemba;terminus;4;1;1;1;8;560
319;Kimbanseke;kingasani;1;0;0;0;3;30
320;Ngaliema;mont fleury;1;0;0;0;7.5;95
321;Ngaliema;Anciens combatant;3;1;1;1;9;500
322;Lemba;echangeur;2;0;1;0;8;130
323;Lemba;salongo;2;1;1;0;6;130
324;Lemba;echangeur;2;1;1;1;6;130
325;Lemba;mandradele;3;1;1;1;7;220
326;Ngaliema;mont fleury;1;0;0;0;7;70
327;Lemba;salongo;3;1;1;1;8;310
328;Ngaliema;ma campagne;2;0;1;1;7;180
329;Kimbanseke;kingasani;4;1;1;1;6;260
330;Kimbanseke;mokali;4;1;1;1;8;390
331;Lemba;mandradele;1;0;0;0;6;55
332;Lemba;salongo;2;0;1;1;6;115
333;Ngaliema;mont fleury;5;1;1;1;9;1250
334;Ngaliema;ma campagne;5;1;1;1;9;1800
335;Ngaliema;Anciens combatant;4;1;1;1;9;1350
336;Kimbanseke;kingasani;2;1;1;1;7;125
337;Ngaliema;delvaux;1;1;1;1;9;165
338;Lemba;echangeur;2;1;1;1;8;240
339;Kimbanseke;mokali;3;1;1;1;8;310
340;Kimbanseke;revolution;5;1;1;1;8;440
341;Kimbanseke;mokali;1;0;0;1;5;45
342;Lemba;mandradele;1;0;1;0;7;75
343;Kimbanseke;kingasani;2;1;1;1;7;190
344;Kimbanseke;kingasani;3;1;1;1;7;270
345;Lemba;salongo;2;1;1;1;8;220
346;Lemba;echangeur;2;1;1;1;9;270
347;Ngaliema;Anciens combatant;3;1;1;1;8.5;550
348;Ngaliema;delvaux;2;1;1;1;9;350
349;Kimbanseke;revolution;2;0;1;0;6;90
350;Lemba;echangeur;4;1;1;1;7;510
351;Kimbanseke;kingasani;2;1;1;1;7;135
352;Ngaliema;ma campagne;1;1;1;1;6;135
353;Ngaliema;Anciens combatant;1;0;0;0;6;90
354;Kimbanseke;mikondo;3;1;1;1;8;220
355;Lemba;terminus;3;1;1;0;7;320
356;Ngaliema;ma campagne;1;1;1;1;7;135
357;Ngaliema;mont fleury;1;1;1;1;8;90
358;Ngaliema;mont fleury;2;1;1;1;8;220
359;Kimbanseke;mokali;3;1;1;1;7;220
360;Kimbanseke;kingasani;4;1;1;1;8;320
361;Lemba;mandradele;2;1;1;1;7;180
362;Kimbanseke;revolution;1;0;0;0;7;60
363;Kimbanseke;mikondo;1;0;0;0;5;40
364;Kimbanseke;kingasani;3;1;1;0;8;220
365;Lemba;terminus;3;1;1;1;8;310
366;Ngaliema;delvaux;1;1;1;1;9;135
367;Kimbanseke;mikondo;1;0;0;0;5;40
368;Lemba;salongo;2;1;1;0;7;180
369;Lemba;salongo;2;1;1;1;7;220
370;Kimbanseke;revolution;2;1;1;1;6;135
371;Ngaliema;delvaux;2;1;1;1;9;220
372;Kimbanseke;kingasani;4;1;1;1;8;270
373;Kimbanseke;mokali;2;1;1;1;6;135
374;Kimbanseke;kingasani;1;1;1;1;8;90
375;Ngaliema;delvaux;2;1;1;1;8;180
376;Lemba;terminus;5;1;1;1;8.5;700
377;Ngaliema;Anciens combatant;3;1;1;1;8.5;370
378;Lemba;mandradele;1;1;1;0;6;110
379;Kimbanseke;revolution;1;1;1;1;7;90
380;Kimbanseke;kingasani;2;1;1;1;8;135
381;Ngaliema;ma campagne;3;1;1;1;8;740
382;Ngaliema;Anciens combatant;2;0;1;1;6;180
383;Ngaliema;ma campagne;5;1;1;1;8;1300
384;Lemba;echangeur;3;1;1;1;7;260
385;Kimbanseke;mokali;2;1;1;1;4;90
386;Kimbanseke;mokali;1;1;1;1;5;90
387;Kimbanseke;kingasani;2;1;1;0;7;135
388;Kimbanseke;revolution;3;1;1;1;7;270
389;Lemba;mandradele;2;1;1;1;7;180
390;Lemba;salongo;4;1;1;1;8;270
391;Ngaliema;delvaux;4;1;1;1;8;1100
392;Kimbanseke;mokali;2;0;1;0;5;90
393;Lemba;echangeur;3;1;1;1;7;430
393;Lemba;echangeur;3;1;1;1;7;430
394;Lemba;echangeur;2;1;1;1;8;220
395;Kimbanseke;mokali;3;1;1;1;7;180
396;Kimbanseke;mikondo;2;1;1;1;7;135
397;Kimbanseke;mokali;2;1;1;1;7;135
398;Kimbanseke;kingasani;1;0;0;0;5;30
399;Ngaliema;ma campagne;6;1;1;1;9;1600
400;Ngaliema;mont fleury;5;1;1;1;8;1100
401;Lemba;salongo;4;1;1;1;8;550
402;Kimbanseke;mokali;1;1;1;1;6;90
403;Ngaliema;mont fleury;2;1;1;1;7;270
404;Lemba;terminus;3;1;1;1;8;370
405;Ngaliema;delvaux;2;1;1;1;8;220
406;Lemba;mandradele;4;1;1;1;8;650
407;Ngaliema;Anciens combatant;8;1;1;1;9;2400
408;Lemba;echangeur;1;1;1;1;7;110
409;Kimbanseke;mikondo;1;1;1;0;7;80
410;Ngaliema;Anciens combatant;1;0;1;1;7;110
411;Lemba;echangeur;1;0;0;0;6;70
412;Ngaliema;delvaux;2;1;1;1;8;220
413;Kimbanseke;mikondo;1;0;1;0;8;70
414;Ngaliema;mont fleury;4;1;1;1;7;550
415;Lemba;mandradele;2;0;1;0;7;160
416;Kimbanseke;revolution;1;1;1;1;7;90
417;Kimbanseke;revolution;1;1;1;0;7;80
418;Lemba;mandradele;1;0;1;1;8;130
419;Kimbanseke;mokali;1;0;0;0;6;50
420;Lemba;salongo;3;1;1;1;8;370
421;Ngaliema;Anciens combatant;3;1;1;1;8;510
422;Kimbanseke;kingasani;2;0;1;1;7;90
423;Kimbanseke;kingasani;1;0;0;0;6;40
424;Ngaliema;Anciens combatant;4;1;1;1;8;650
425;Lemba;salongo;4;1;1;1;7;460
426;Ngaliema;ma campagne;2;1;1;1;8;270
427;Kimbanseke;mokali;1;0;0;0;6;40
428;Ngaliema;delvaux;2;1;1;1;9;430
429;Lemba;mandradele;1;1;1;0;8;120
430;Kimbanseke;mikondo;1;0;1;1;7;80
431;Ngaliema;delvaux;1;1;1;1;9;200
432;Lemba;terminus;3;1;1;1;9;460
433;Kimbanseke;revolution;3;1;1;1;8;270
434;Lemba;echangeur;1;0;1;1;8;90
435;Ngaliema;mont fleury;3;1;1;1;8;850
436;Lemba;echangeur;4;1;1;1;7;550
437;Kimbanseke;mokali;2;1;1;0;6;90
438;Ngaliema;ma campagne;2;1;1;1;7;320
439;Lemba;mandradele;1;0;0;0;7;80
440;Kimbanseke;mokali;2;1;1;1;7;180
441;Lemba;salongo;2;1;1;0;8;250
442;Kimbanseke;mikondo;1;0;1;1;1;90
443;Kimbanseke;mikondo;1;0;0;0;6;50
444;Kimbanseke;revolution;1;1;1;1;8;90
445;Ngaliema;ma campagne;4;1;1;1;8;790
446;Lemba;mandradele;2;0;1;1;7;160
447;Kimbanseke;mokali;2;0;1;0;6;90
448;Lemba;echangeur;6;1;1;1;9;1050
449;Ngaliema;mont fleury;2;1;1;1;8;270
450;Kimbanseke;revolution;1;0;0;1;7;70
451;Kimbanseke;mokali;3;1;1;0;8;135
452;Ngaliema;Anciens combatant;4;1;1;1;8;520
453;Kimbanseke;kingasani;1;1;1;0;7;70
454;Ngaliema;delvaux;2;1;1;1;8;270
455;Lemba;echangeur;1;0;0;0;7;80
456;Kimbanseke;revolution;1;1;1;1;5;80
457;Lemba;salongo;3;1;1;0;7;230
458;Ngaliema;delvaux;3;1;1;1;9;620
459;Lemba;terminus;2;1;1;1;7;290
460;Kimbanseke;mokali;4;1;1;1;8;400
461;Ngaliema;ma campagne;4;1;1;1;8;770
462;Lemba;salongo;1;0;1;0;6;115
463;Kimbanseke;kingasani;3;1;1;1;7;260
464;Ngaliema;mont fleury;2;1;1;1;7;250
465;Lemba;echangeur;3;1;1;1;7;410
466;Kimbanseke;revolution;2;1;1;1;6;125
467;Ngaliema;Anciens combatant;2;1;1;1;8;340
468;Lemba;mandradele;3;1;1;1;7;230
469;Kimbanseke;mikondo;2;1;1;1;7;135
470;Ngaliema;delvaux;1;1;1;1;9;170
471;Lemba;salongo;2;1;1;0;6;155
472;Kimbanseke;mokali;2;1;1;1;6;135
473;Ngaliema;ma campagne;3;1;1;1;8;410
474;Lemba;terminus;4;1;1;1;8;540
475;Kimbanseke;kingasani;1;0;0;0;3;25
476;Ngaliema;mont fleury;1;0;0;0;7.5;90
477;Ngaliema;Anciens combatant;3;1;1;1;9;480
478;Lemba;echangeur;2;0;1;0;8;125
479;Lemba;salongo;2;1;1;0;6;125
480;Lemba;echangeur;2;1;1;1;6;125
481;Lemba;mandradele;3;1;1;1;7;210
482;Ngaliema;mont fleury;1;0;0;0;7;65
483;Lemba;salongo;3;1;1;1;8;300
484;Ngaliema;ma campagne;2;0;1;1;7;170
485;Kimbanseke;kingasani;4;1;1;1;6;250
486;Kimbanseke;mokali;4;1;1;1;8;390
487;Lemba;mandradele;1;0;0;0;6;55
488;Lemba;salongo;2;0;1;1;6;115
489;Ngaliema;mont fleury;5;1;1;1;9;1250
490;Ngaliema;ma campagne;5;1;1;1;9;1800
491;Ngaliema;Anciens combatant;4;1;1;1;9;1350
492;Kimbanseke;kingasani;2;1;1;1;7;125
493;Ngaliema;delvaux;1;1;1;1;9;165
494;Lemba;echangeur;2;1;1;1;8;240
495;Kimbanseke;mokali;3;1;1;1;8;310
496;Kimbanseke;revolution;5;1;1;1;8;440
497;Kimbanseke;mokali;1;0;0;1;5;45
498;Lemba;mandradele;1;0;1;0;7;75
499;Kimbanseke;kingasani;2;1;1;1;7;190
500;Kimbanseke;kingasani;3;1;1;1;7;270
501;Lemba;echangeur;2;1;1;1;7;230
502;Lemba;terminus;3;1;1;1;7;310
503;Lemba;salongo;4;1;1;1;8;540
504;Ngaliema;mont fleury;2;1;1;1;7;270
505;Ngaliema;ma campagne;3;1;1;1;8;440
506;Lemba;salongo;2;1;1;0;6;170
507;Lemba;terminus;4;1;1;1;8;570
508;Kimbanseke;mokali;3;1;1;0;5;180
509;Kimbanseke;kingasani;2;1;1;1;5;100
510;Kimbanseke;kingasani;1;0;0;0;3;32
511;Ngaliema;ma campagne;2;0;1;1;5;100
512;Ngaliema;ma campagne;3;1;1;1;8;370
513;Ngaliema;mont fleury;1;0;0;0;7.5;92
514;Ngaliema;Anciens combatant;3;1;1;1;9;510
515;Lemba;echangeur;2;0;1;0;8;120
516;Lemba;salongo;2;1;1;0;6;120
517;Lemba;echangeur;2;1;1;1;6;120
518;Lemba;mandradele;3;1;1;1;7;210
519;Ngaliema;mont fleury;1;0;0;0;7;68
520;Lemba;salongo;3;1;1;1;8;300
521;Ngaliema;ma campagne;2;0;1;1;7;160
522;Kimbanseke;kingasani;4;1;1;1;6;240
523;Kimbanseke;mokali;4;1;1;1;8;380
524;Lemba;mandradele;1;0;0;0;6;58
525;Lemba;salongo;2;0;1;1;6;110
526;Ngaliema;mont fleury;5;1;1;1;9;1200
527;Ngaliema;ma campagne;5;1;1;1;9;1750
528;Ngaliema;Anciens combatant;4;1;1;1;9;1300
529;Kimbanseke;kingasani;2;1;1;1;7;115
530;Ngaliema;delvaux;1;1;1;1;9;160
531;Lemba;echangeur;2;1;1;1;8;230
532;Kimbanseke;mokali;3;1;1;1;8;300
533;Kimbanseke;revolution;5;1;1;1;8;420
534;Kimbanseke;mokali;1;0;0;1;5;42
535;Lemba;mandradele;1;0;1;0;7;70
536;Kimbanseke;kingasani;2;1;1;1;7;180
537;Kimbanseke;kingasani;3;1;1;1;7;260
538;Lemba;salongo;2;1;1;1;8;210
